	city	type_of_street	name_of_street	number_of_house	type_of_building	num_of_building	year
0	Москва	пер	Новопесковский М.	8			2006
1	Москва	проезд	Дмитровский	4	стр	1	1936
2	Москва	ул	Алтайская	9	к	2	1980
3	Москва	пер	Рижский 1-й	2	к	1	1959
4	Москва	ул	Уральская	19	к	2	1968
5	Москва	ул	Уссурийская	1	к	5	1975
6	Москва	ул	Уссурийская	11	к	1	1972
7	Москва	ул	Уссурийская	11	к	3	1972
8	Москва	ул	Бажова	8			2006
9	Москва	ш	Варшавское	143	к	7	1993
10	Москва	просек	Казанский 1-й	2			2013
11	Москва	ул	Кирпичная	41А			1976
12	Москва	ул	Кожуховская 6-я	3	к	1	2003
13	Москва	ул	Кожуховская 6-я	3	к	2	1951
14	Москва	ул	Кожуховская 6-я	15	к	2	2005
15	Москва	ул	Красноказарменная	8			2012
16	Москва	ул	Машиностроения 1-я	6А			2008
17	Москва	пр-кт	Мира	167			2009
18	Москва	ул	Новороссийская	30	к	1	2003
19	Москва	ул	Столетова	9			2010
20	Москва	ул	Столетова	15			2012
21	Москва	проезд	Сыромятнический	8	к	2	2012
22	Москва	ул	Трофимова	9	к	2	2004
23	Москва	ул	Трофимова	16			1968
24	Москва	ул	Шарикоподшипниковская	20			2003
25	Москва	ул	Энергетическая	2	к	2	2012
26	Москва	проезд	Дмитровский	4	стр	3	1936
27	Москва	проезд	Дмитровский	6	к	1	1965
28	Москва	проезд	Дмитровский	6	к	2	1967
29	Москва	ш	Дмитровское	1	к	1	1932
30	Москва	ш	Дмитровское	3	к	1	1959
31	Москва	ш	Дмитровское	5	к	1	1941
32	Москва	ул	Красноармейская	10	к	2	1984
33	Москва	ул	Красноармейская	16			1960
34	Москва	ул	Лавочкина	44	к	1	1967
35	Москва	пр-кт	Ленинградский	48/2	стр	1	1951
36	Москва	ул	Масловка Верхн.	27	к	2	1971
37	Москва	ул	Масловка Верхн.	29			1966
38	Москва	аллея	Петровско-Разумовская	18			1939
39	Москва	ул	Петрозаводская	5	к	1	1968
40	Москва	ул	Петрозаводская	5	к	2	1969
41	Москва	ул	Петрозаводская	5	к	3	1969
42	Москва	ул	Петрозаводская	11	к	1	1973
43	Москва	ул	Петрозаводская	13	к	1	1973
44	Москва	ул	Петрозаводская	13	к	2	1973
45	Москва	ул	Петрозаводская	15	к	4	1971
46	Москва	ул	Пилота Нестерова	9	к	20	1963
47	Москва	ул	Пилота Нестерова	11			1962
48	Москва	ул	Планетная	2/12			1973
49	Москва	ул	Планетная	12			1961
50	Москва	ул	Степана Супруна	4			1974
51	Москва	ул	Степана Супруна	12	к	3	1969
52	Москва	ул	Тимирязевская	7			1969
53	Москва	ул	Фестивальная	53	к	6	1970
54	Москва	ул	Фестивальная	59	к	1	1971
55	Москва	ул	Фестивальная	61			1969
56	Москва	ул	Фестивальная	63	к	1	1970
57	Москва	ул	Фестивальная	65			1968
58	Москва	ул	Фестивальная	67			1970
59	Москва	пер	Эльдорадовский	5			1958
60	Москва	пер	Эльдорадовский	7			1958
61	Москва	ул	Маршала Катукова	24	к	1	2011
62	Москва	ул	Маршала Катукова	24	к	3	2010
63	Москва	ул	Маршала Катукова	24	к	4	2010
64	Москва	ул	Маршала Катукова	24	к	5	2008
65	Москва	ул	Маршала Катукова	24	к	6	2008
66	Москва	ул	Твардовского	2	стр	4	2012
67	Москва	ул	Твардовского	2	стр	5	2012
68	Москва	ул	Твардовского	12			2009
69	Москва	ул	Твардовского	12	к	1	2009
70	Москва	ул	Твардовского	12	к	2	2012
71	Москва	ул	Твардовского	12	к	3	2013
72	Москва	наб	Карамышевская	34			2015
73	Москва	наб	Карамышевская	36			2015
74	Москва	пр-кт	Маршала Жукова	37	к	2	2014
75	Москва	пр-кт	Маршала Жукова	39	к	6	2010
76	Москва	пр-кт	Маршала Жукова	43	к	5	2011
77	Москва	ул	Маршала Тухачевского	49			2009
78	Москва	пр-кт	Мира	83			2013
79	Москва	ул	Народного Ополчения	11			2012
80	Москва	ул	Саляма Адиля	2	к	1	2011
81	Москва	ул	Днепропетровская	37	к	1	1975
82	Москва	ул	Днепропетровская	37	к	2	1975
83	Москва	ул	Авиационная	77			2008
84	Москва	ул	Авиационная	77	к	1	2010
85	Москва	ул	Авиационная	79			2001
86	Москва	ул	Авиационная	79	к	1	2003
87	Москва	ул	Академика Королева	10			2010
88	Москва	пер	Зачатьевский 1-й	5			2005
89	Москва	пер	Казарменный	3			2009
90	Москва	ул	Маршала Бирюзова	31			2006
91	Москва	ул	Маршала Василевского	13	к	3	1997
92	Москва	ул	Маршала Конева	14			2010
93	Москва	ул	Маршала Соколовского	5			2006
94	Москва	ул	Маршала Соколовского	10	к	1	2001
95	Москва	пер	Молочный	2			2005
96	Москва	ул	Мосфильмовская	8			2011
97	Москва	ул	Мосфильмовская	70			2006
